pleiades_url,geonames_url,match_type,distance,pleiades_locationPrecision,pleiades_featureTypes,geonames_featurecode
http://pleiades.stoa.org/places/118571,http://sws.geonames.org/2768627/,edh,1.637,precise,"fort",PPLA3
http://pleiades.stoa.org/places/118569,http://sws.geonames.org/3175960/,edh,414.326,precise,"settlement",PPLA3
http://pleiades.stoa.org/places/118539,http://sws.geonames.org/2931741/,edh,0.719,precise,"fort",PPL
http://pleiades.stoa.org/places/118537,http://sws.geonames.org/2959927/,edh,0.491,precise,"fort",PPLA3
http://pleiades.stoa.org/places/114764,http://sws.geonames.org/3012394/,edh,4980.63,unlocated,"unlocated",PPL
http://pleiades.stoa.org/places/114762,http://sws.geonames.org/788852/,edh,1352.886,related,"unlocated",PPLA3
http://pleiades.stoa.org/places/114762,http://sws.geonames.org/3117331/,edh,849.598,related,"unlocated",PPLA3
http://pleiades.stoa.org/places/114762,http://sws.geonames.org/2659211/,edh,272.555,related,"unlocated",PPL
http://pleiades.stoa.org/places/109456,http://sws.geonames.org/2811420/,edh,0.363,precise,"villa",PPLA4
http://pleiades.stoa.org/places/109444,http://sws.geonames.org/2858562/,edh,0.106,precise,"settlement",PPL
http://pleiades.stoa.org/places/109441,http://sws.geonames.org/2783952/,edh,0.041,precise,"settlement",PPL
http://pleiades.stoa.org/places/109427,http://sws.geonames.org/2953416/,edh,0.709,precise,"settlement, villa",PPLA3
http://pleiades.stoa.org/places/109426,http://sws.geonames.org/2855767/,edh,0.325,precise,"settlement, fort",PPL
http://pleiades.stoa.org/places/109414,http://sws.geonames.org/2970123/,edh,1.198,precise,"temple",PPL
http://pleiades.stoa.org/places/109413,http://sws.geonames.org/2784903/,edh,0.293,precise,"settlement",PPL
http://pleiades.stoa.org/places/109398,http://sws.geonames.org/2785341/,edh,0.078,precise,"settlement",PPLA3
http://pleiades.stoa.org/places/109396,http://sws.geonames.org/2972350/,edh,0.984,precise,"settlement",PPLA3
http://pleiades.stoa.org/places/109389,http://sws.geonames.org/2975588/,edh,0.055,precise,"settlement",PPLA3
http://pleiades.stoa.org/places/109382,http://sws.geonames.org/2803723/,edh,0.581,precise,"settlement",PPL
http://pleiades.stoa.org/places/109369,http://sws.geonames.org/2785809/,edh,0.069,precise,"settlement",PPL
http://pleiades.stoa.org/places/109366,http://sws.geonames.org/2972936/,edh,0.196,precise,"settlement",PPL
http://pleiades.stoa.org/places/109362,http://sws.geonames.org/2847595/,edh,0.139,precise,"settlement",PPLA4
http://pleiades.stoa.org/places/109362,http://sws.geonames.org/2823755/,edh,141.258,precise,"settlement",PPLA4
http://pleiades.stoa.org/places/109348,http://sws.geonames.org/2973999/,edh,0.365,precise,"settlement",PPL
http://pleiades.stoa.org/places/109335,http://sws.geonames.org/3034802/,edh,0.908,precise,"settlement",PPLA3
http://pleiades.stoa.org/places/109321,http://sws.geonames.org/3037854/,edh,0.619,precise,"settlement",PPLA2
http://pleiades.stoa.org/places/109317,http://sws.geonames.org/2833134/,edh,646.389,precise,"settlement",PPL
http://pleiades.stoa.org/places/109292,http://sws.geonames.org/2787521/,edh,0.391,precise,"settlement",PPL
http://pleiades.stoa.org/places/109287,http://sws.geonames.org/2982652/,edh,0.328,precise,"settlement",PPLA
http://pleiades.stoa.org/places/109281,http://sws.geonames.org/3034991/,edh,689.862,precise,"settlement, fort",PPLA3
http://pleiades.stoa.org/places/109281,http://sws.geonames.org/3023990/,edh,681.461,precise,"settlement, fort",PPL
http://pleiades.stoa.org/places/109281,http://sws.geonames.org/3018969/,edh,688.965,precise,"settlement, fort",PPL
http://pleiades.stoa.org/places/109281,http://sws.geonames.org/2848335/,edh,0.007,precise,"settlement, fort",PPL
http://pleiades.stoa.org/places/109278,http://sws.geonames.org/2983698/,edh,1.841,precise,"temple",PPL
http://pleiades.stoa.org/places/109274,http://sws.geonames.org/2984136/,edh,0.119,precise,"settlement",PPL
http://pleiades.stoa.org/places/109254,http://sws.geonames.org/2975967/,edh,0.226,precise,"settlement",PPLA3
http://pleiades.stoa.org/places/109236,http://sws.geonames.org/3003603/,edh,1.031,precise,"settlement",PPLA2
http://pleiades.stoa.org/places/109232,http://sws.geonames.org/2803073/,edh,0.055,precise,"settlement",PPL
http://pleiades.stoa.org/places/109224,http://sws.geonames.org/2864572/,edh,125.99,precise,"settlement",PPLX
http://pleiades.stoa.org/places/109216,http://sws.geonames.org/2659422/,edh,401.112,precise,"fort",PPL
http://pleiades.stoa.org/places/109216,http://sws.geonames.org/2659152/,edh,400.508,precise,"fort",PPL
http://pleiades.stoa.org/places/109215,http://sws.geonames.org/2864118/,edh,3.017,precise,"temple, fort",PPLA3
http://pleiades.stoa.org/places/109209,http://sws.geonames.org/2990420/,edh,0.061,precise,"settlement",PPL
http://pleiades.stoa.org/places/109205,http://sws.geonames.org/2908403/,edh,1.152,precise,"settlement",PPLX
http://pleiades.stoa.org/places/109205,http://sws.geonames.org/2852309/,edh,2.012,precise,"settlement",PPLX
http://pleiades.stoa.org/places/109190,http://sws.geonames.org/2991031/,edh,1.185,precise,"settlement",PPL
http://pleiades.stoa.org/places/109188,http://sws.geonames.org/2790471/,edh,0.955,precise,"settlement",PPLA
http://pleiades.stoa.org/places/109174,http://sws.geonames.org/2944800/,edh,0.47,precise,"fort",PPL
http://pleiades.stoa.org/places/109169,http://sws.geonames.org/2920329/,edh,6.074,precise,"settlement",PPLA4
http://pleiades.stoa.org/places/109169,http://sws.geonames.org/2887987/,edh,7.371,precise,"settlement",PPLA4
http://pleiades.stoa.org/places/109169,http://sws.geonames.org/2874225/,edh,1.335,precise,"settlement",PPLA
http://pleiades.stoa.org/places/109169,http://sws.geonames.org/2873622/,edh,4.6,precise,"settlement",PPLX
http://pleiades.stoa.org/places/109169,http://sws.geonames.org/2859481/,edh,8.476,precise,"settlement",PPLA4
http://pleiades.stoa.org/places/109169,http://sws.geonames.org/2809346/,edh,9.952,precise,"settlement",PPLA
